sp|E7S4M0|CSN2_STRA8
tr|V6BLE1|V6BLE1_STRA8
tr|C6ZKS3|C6ZKS3_STRA8	K03631
tr|E7S239|E7S239_STRA8
tr|E7S3Z2|E7S3Z2_STRA8
tr|E7S480|E7S480_STRA8	K02493
tr|E7S2U7|E7S2U7_STRA8	K02071
tr|E7S3P0|E7S3P0_STRA8	K18888
tr|E7S4L7|E7S4L7_STRA8	K03596
tr|E7S5D2|E7S5D2_STRA8
tr|E7S2W4|E7S2W4_STRA8
tr|E7S3I1|E7S3I1_STRA8	K02016
tr|E7S3V2|E7S3V2_STRA8	K06967
tr|E7S4P1|E7S4P1_STRA8	K03650
tr|E7S3K5|E7S3K5_STRA8	K07584
tr|E7S2T1|E7S2T1_STRA8
tr|E7S2M8|E7S2M8_STRA8	K03111
tr|E7S5M3|E7S5M3_STRA8
tr|E7S698|E7S698_STRA8
tr|E7S4P8|E7S4P8_STRA8	K01889
tr|E7S6C9|E7S6C9_STRA8
tr|E7S168|E7S168_STRA8
tr|E7S6Z8|E7S6Z8_STRA8
tr|E7S2E5|E7S2E5_STRA8	K02821
tr|E7S2D2|E7S2D2_STRA8
tr|E7S5N1|E7S5N1_STRA8	K03601
tr|E7S595|E7S595_STRA8
tr|E7S782|E7S782_STRA8
tr|E7S2J4|E7S2J4_STRA8	K09747
tr|E7S431|E7S431_STRA8
tr|E7S4C8|E7S4C8_STRA8	K07704
tr|E7S3E9|E7S3E9_STRA8	K12996
tr|E7S3L5|E7S3L5_STRA8	K02004
tr|E7S4X0|E7S4X0_STRA8
tr|E7S549|E7S549_STRA8	K07668
tr|E7S598|E7S598_STRA8
tr|E7S3K1|E7S3K1_STRA8	K04487
tr|E7S478|E7S478_STRA8	K00857
tr|E7S377|E7S377_STRA8
tr|E7S5K9|E7S5K9_STRA8	K06207
tr|E7S5M9|E7S5M9_STRA8	K13789
tr|E7S6B4|E7S6B4_STRA8	K00604
tr|E7S7A4|E7S7A4_STRA8	K00764
tr|E7S282|E7S282_STRA8
tr|E7S2F3|E7S2F3_STRA8	K02775
tr|E7S4W2|E7S4W2_STRA8
tr|E7S5R7|E7S5R7_STRA8
tr|E7S6C1|E7S6C1_STRA8	K07778
tr|E7S1F5|E7S1F5_STRA8
tr|E7S202|E7S202_STRA8
tr|E7S5F2|E7S5F2_STRA8
tr|E7S682|E7S682_STRA8	K09458
tr|E7S6A9|E7S6A9_STRA8	K11617
tr|E7S702|E7S702_STRA8	K02529
tr|E7S1J2|E7S1J2_STRA8	K02004
tr|E7S4N2|E7S4N2_STRA8	K18672
tr|E7S4Y1|E7S4Y1_STRA8	K02340
tr|E7S670|E7S670_STRA8	K02795
tr|E7S6D0|E7S6D0_STRA8	K03700
tr|E7S4I6|E7S4I6_STRA8	K00016
tr|E7S3X7|E7S3X7_STRA8	K03784
tr|E7S2M6|E7S2M6_STRA8	K03575
tr|E7S2Y3|E7S2Y3_STRA8	K09976
tr|E7S4C0|E7S4C0_STRA8
tr|E7S4Z2|E7S4Z2_STRA8	K02073
tr|E7S5C5|E7S5C5_STRA8
tr|E7S545|E7S545_STRA8	K03685
tr|E7S342|E7S342_STRA8	K01243
tr|E7S2T3|E7S2T3_STRA8
tr|E7S585|E7S585_STRA8	K01990
tr|E7S5D8|E7S5D8_STRA8
tr|E7S5J4|E7S5J4_STRA8	K04041
tr|E7S5R6|E7S5R6_STRA8
tr|E7S646|E7S646_STRA8	K17686
tr|E7S1F8|E7S1F8_STRA8
tr|E7S1Y8|E7S1Y8_STRA8
tr|E7S1Z6|E7S1Z6_STRA8
tr|E7S3H8|E7S3H8_STRA8
tr|E7S4M8|E7S4M8_STRA8
tr|E7S538|E7S538_STRA8
tr|E7S3P3|E7S3P3_STRA8	K01462
tr|E7S642|E7S642_STRA8	K02335
tr|E7S6X7|E7S6X7_STRA8	K07258
tr|E7S1A9|E7S1A9_STRA8
tr|E7S5L9|E7S5L9_STRA8	K00226
tr|E7S7G0|E7S7G0_STRA8
tr|E7S2G9|E7S2G9_STRA8	K03739
tr|E7S5N5|E7S5N5_STRA8	K02028
tr|E7S7B4|E7S7B4_STRA8
tr|E7S3W7|E7S3W7_STRA8	K01989
tr|E7S7B2|E7S7B2_STRA8
tr|E7S5D9|E7S5D9_STRA8	K03215
tr|E7S7A6|E7S7A6_STRA8	K01923
tr|E7S6D8|E7S6D8_STRA8
tr|E7S1S8|E7S1S8_STRA8
tr|E7S5G0|E7S5G0_STRA8	K02004
tr|E7S6R8|E7S6R8_STRA8
tr|E7S6W1|E7S6W1_STRA8	K03043
tr|E7S204|E7S204_STRA8
tr|E7S464|E7S464_STRA8	K06180
tr|E7S3G6|E7S3G6_STRA8
tr|E7S515|E7S515_STRA8	K03976
tr|E7S558|E7S558_STRA8	K01868
tr|E7S439|E7S439_STRA8	K11754
tr|E7S453|E7S453_STRA8
tr|E7S3D1|E7S3D1_STRA8	K15771
tr|E7S4R4|E7S4R4_STRA8	K00700
tr|E7S360|E7S360_STRA8
tr|E7S4X7|E7S4X7_STRA8	K01223
tr|E7S6Y2|E7S6Y2_STRA8	K09013
tr|E7S1Q4|E7S1Q4_STRA8	K03550
tr|E7S2B1|E7S2B1_STRA8	K03708
tr|E7S4X6|E7S4X6_STRA8	K02647
tr|E7S2U1|E7S2U1_STRA8
tr|E7S548|E7S548_STRA8	K07652
tr|E7S730|E7S730_STRA8	K15634
tr|E7S798|E7S798_STRA8
tr|E7S5H4|E7S5H4_STRA8	K02909
tr|E7S694|E7S694_STRA8	K02240
tr|E7S7D3|E7S7D3_STRA8
tr|E7S2D9|E7S2D9_STRA8	K07007
tr|E7S177|E7S177_STRA8
tr|E7S1P9|E7S1P9_STRA8
tr|E7S7C6|E7S7C6_STRA8
tr|E7S1X0|E7S1X0_STRA8
tr|E7S213|E7S213_STRA8
tr|E7S394|E7S394_STRA8
tr|E7S5C9|E7S5C9_STRA8
tr|E7S5E8|E7S5E8_STRA8
tr|E7S7A1|E7S7A1_STRA8
tr|E7S2A0|E7S2A0_STRA8
tr|E7S5B0|E7S5B0_STRA8	K20488
tr|E7S334|E7S334_STRA8	K00059
tr|E7S4D3|E7S4D3_STRA8	K03470
tr|E7S488|E7S488_STRA8	K01835
