sp|A9BNJ1|ACPS_DELAS	K00997
sp|A9BNK3|ACP_DELAS	K02078
sp|A9BR02|ALR_DELAS	K01775
sp|A9C011|AMIE_DELAS	K01426
sp|A9BVD2|APAH_DELAS	K01525
sp|A9BY30|ARGB_DELAS	K00930
sp|A9BM60|ASSY_DELAS	K01940
sp|A9BME3|ATE_DELAS	K00685
sp|A9C190|ATKA_DELAS	K01546
sp|A9BPU5|ATPA_DELAS	K02111
sp|A9BPU7|ATPB_DELAS	K02112
sp|A9BPU4|ATPD_DELAS	K02113
sp|A9BPU8|ATPE_DELAS	K02114
sp|A9BPU3|ATPF_DELAS	K02109
sp|A9BPU6|ATPG_DELAS	K02115
sp|A9BPU2|ATPL_DELAS	K02110
sp|A9C3B1|AZOR_DELAS	K01118
sp|A9C2R2|BIOB_DELAS	K01012
sp|A9BV10|BIOF_DELAS	K00652
sp|A9BXL2|CH10_DELAS	K04078
sp|A9BXL3|CH60_DELAS	K04077
sp|A9C1U9|CLPX_DELAS	K03544
sp|A9BXN5|COQ7_DELAS	K06134
sp|A9BXD6|CYAY_DELAS	K06202
sp|A9BU40|DADA_DELAS	K00285
sp|A9BZY8|DAPD_DELAS	K00674
sp|A9BZY6|DAPE_DELAS	K01439
sp|A9BZG1|DCTA_DELAS	K11103
sp|A9BPZ7|DCUP_DELAS	K01599
sp|A9BUK8|DDL_DELAS	K01921
sp|A9BMU9|DER_DELAS	K03977
sp|A9BNG6|DNAJ_DELAS	K03686
sp|A9BNG5|DNAK_DELAS	K04043
sp|A9BZW4|DNLJ_DELAS	K01972
sp|A9BUE9|DTD_DELAS	K07560
sp|A9BVZ6|EFP_DELAS	K02356
sp|A9BMN1|EFTS_DELAS	K02357
sp|A9C177|ERPA_DELAS	K15724
sp|A9BWI7|EX7L_DELAS	K03601
sp|A9BW85|F16PA_DELAS	K03841
sp|A9BNK6|FABH_DELAS	K00648
sp|A9C3H6|FENR_DELAS	K00384
sp|A9C3G0|FETP_DELAS
sp|A9BS67|FMT_DELAS	K00604
sp|A9BWT7|FOLD_DELAS	K01491
sp|A9BPN0|GATC_DELAS	K02435
sp|A9C020|GCH4_DELAS	K09007
sp|A9BMK7|GLMM_DELAS	K03431
sp|A9BRV2|GLPK_DELAS	K00864
sp|A9BUZ7|GPDA_DELAS	K00057
sp|A9BUZ3|GPMA_DELAS	K01834
sp|A9BNG4|GRPE_DELAS	K03687
sp|A9BY74|GSA_DELAS	K01845
sp|A9BNR6|GUAC_DELAS	K00364
sp|A9BMU8|HFQ_DELAS	K03666
sp|A9BXA2|HIS3_DELAS	K01496
sp|A9BX71|HIS4_DELAS	K01814
sp|A9BXA1|HIS6_DELAS	K02500
sp|A9BMU4|HISZ_DELAS	K02502
sp|A9BRT1|HPRK_DELAS	K06023
sp|A9BP03|HRCA_DELAS	K03705
sp|A9BWU9|HSCA_DELAS	K04044
sp|A9BUJ5|HSLV_DELAS	K01419
sp|A9C3C8|IHFA_DELAS	K04764
sp|A9BME9|ILVC_DELAS	K00053
sp|A9BZG3|IOLG_DELAS	K00010
sp|A9BP16|ISPE_DELAS	K00919
sp|A9BWI1|KAD_DELAS	K00939
sp|A9BQU2|KDGD_DELAS	K01707
sp|A9BN40|KDSA_DELAS	K01627
sp|A9BWI2|KDSB_DELAS	K00979
sp|A9BVE1|KYNB_DELAS	K07130
sp|A9BNJ8|LEPA_DELAS	K03596
sp|A9BNH1|LEUD_DELAS	K01704
sp|A9BWH9|LEXA_DELAS	K01356
sp|A9BPT7|LIPA_DELAS	K03644
sp|A9BPT8|LIPB_DELAS	K03801
sp|A9BUL2|LPXC_DELAS	K02535
sp|A9BMM2|LPXD_DELAS	K02536
sp|A9BWI4|LPXK_DELAS	K00912
sp|A9BRF0|MASZ_DELAS	K01638
sp|A9BVK0|MDH_DELAS	K00024
sp|A9BXF7|METK_DELAS	K00789
sp|A9BN87|MIAA_DELAS	K00791
sp|A9BUQ1|MIAB_DELAS	K06168
sp|A9BQN8|MINE_DELAS	K03608
sp|A9BS40|MNMA_DELAS	K00566
sp|A9C3G2|MNMC_DELAS	K15461
sp|A9BQJ1|MNMG_DELAS	K03495
sp|A9BQ97|MOAC_DELAS	K03637
sp|A9BUK3|MRAY_DELAS	K01000
sp|A9BUJ7|MRAZ_DELAS	K03925
sp|A9BX57|MSCL_DELAS	K03282
sp|A9BVZ7|MTND_DELAS	K08967
sp|A9BX80|MURA_DELAS	K00790
sp|A9BUK7|MURC_DELAS	K01924
sp|A9BMV7|NDK_DELAS	K00940
sp|A9BMP0|NRDR_DELAS	K07738
sp|A9BTA7|NTPA_DELAS	K02428
sp|A9BNB4|NUOA_DELAS	K00330
sp|A9BNB3|NUOB_DELAS	K00331
sp|A9BNB2|NUOC_DELAS	K00332
sp|A9BNB1|NUOD_DELAS	K00333
sp|A9BVN7|NUSB_DELAS	K03625
sp|A9BP68|OBG_DELAS	K03979
sp|A9BV02|PANB_DELAS	K00606
sp|A9BV01|PANC_DELAS	K01918
sp|A9BV13|PAND_DELAS	K01579
sp|A9BNK7|PLSX_DELAS	K03621
sp|A9BNB8|PNP_DELAS	K00962
sp|A9BP04|PPNK_DELAS	K00858
sp|A9C1G5|PROA_DELAS	K00147
sp|A9BP67|PROB_DELAS	K00931
sp|A9C3H8|PSD_DELAS	K01613
sp|A9BMZ9|PSRP_DELAS	K09773
sp|A9BP19|PTH_DELAS	K01056
sp|A9BMU3|PURA_DELAS	K01939
sp|A9BNI6|PURT_DELAS	K08289
sp|A9BY86|PYRB_DELAS	K00609
sp|A9BSM4|PYRC_DELAS	K01465
sp|A9BWU2|PYRD_DELAS	K00254
